,S1,S2,S3
1407,1053,0,1018
1408,2006,0,428
1409,1472,0,398
1410,152,0,137
1411,84,0,38
1412,1489,0,1329
1413,1384,0,1151
1414,2217,0,507
1415,1774,0,454
1416,282,0,168
1417,128,0,39
1418,2139,0,1586
1419,1901,0,1458
1420,3081,0,633
1421,2376,0,578
1422,152,0,136
1423,81,0,49
1424,1694,0,1374
1425,1357,0,1069
1426,1959,0,651
1427,1523,0,704
1428,164,0,132
1429,83,0,62
1430,1537,0,1271
1431,1426,0,1279
1432,2255,0,658
1433,1805,0,548
1434,164,0,137
1435,95,0,49
1436,1488,0,1377
1437,1415,0,1340
1438,2296,0,754
1439,1828,0,639
1440,170,0,175
1441,87,0,47
1442,1481,0,1352
1443,1471,0,1281
1444,2468,0,755
1445,1948,0,687
1446,128,0,169
1447,70,0,56
1448,1361,0,1355
1449,1241,0,1247
1450,2150,0,730
1451,1609,0,663
1452,188,0,172
1453,85,0,58
1454,1862,0,1478
1455,1718,0,1214
1456,2636,0,749
1457,2086,0,766
1458,356,0,246
1459,150,0,47
1460,2387,0,1862
1461,2096,0,1810
1462,3572,0,959
1463,2634,0,763
1464,222,0,222
1465,84,0,54
1466,2009,0,1422
1467,1481,0,1028
1468,2196,0,815
1469,1834,0,1010
1470,163,0,180
1471,61,0,53
1472,1651,0,1386
1473,1416,0,1192
1474,2165,0,691
1475,1712,0,698
1476,138,0,172
1477,47,0,51
1478,1275,0,1306
1479,1305,0,1239
1480,2222,0,795
1481,1709,0,723
1482,117,0,195
1483,52,0,62
1484,1397,0,1419
1485,1323,0,1240
1486,2382,0,639
1487,1838,0,672
1488,162,0,197
1489,82,0,63
1490,1342,0,1340
1491,1346,0,1274
1492,2337,0,790
1493,1790,0,816
1494,196,0,193
1495,99,0,57
1496,1683,0,1707
1497,1721,0,1382
1498,2787,0,885
1499,2082,0,925
1500,307,0,251
1501,129,0,67
1502,2434,0,1732
1503,2151,0,1442
1504,3407,0,876
1505,2747,0,968
1506,197,0,218
1507,94,0,63
1508,1786,0,1578
1509,1489,0,1170
1510,2167,0,932
1511,1812,0,983
1512,132,0,163
1513,50,0,54
1514,1579,0,1428
1515,1457,0,1213
1516,2156,0,713
1517,1641,0,760
1518,120,0,169
1519,67,0,65
1520,1411,0,1513
1521,1375,0,1306
1522,2292,0,720
1523,1763,0,847
1524,147,0,170
1525,66,0,62
1526,1470,0,1670
1527,1449,0,1370
1528,2554,0,748
1529,1960,0,753
1530,164,0,185
1531,55,0,53
1532,1544,0,1463
1533,1455,0,1336
1534,2489,0,797
1535,1983,0,757
1536,236,0,204
1537,99,0,70
1538,1893,0,1707
1539,1880,0,1496
1540,2913,0,900
1541,2208,0,834
1542,314,0,300
1543,158,0,85
1544,2407,0,2001
1545,2125,0,1695
1546,3575,0,924
1547,2883,0,936
1548,219,0,227
1549,61,0,72
1550,1886,0,1617
1551,1392,0,1128
1552,2040,0,827
1553,1717,0,980
1554,120,0,174
1555,48,0,67
1556,1515,0,1467
1557,1451,0,1315
1558,2182,0,676
1559,1731,0,701
1560,95,0,176
1561,48,0,54
1562,1231,0,1412
1563,1281,0,1300
1564,2217,0,721
1565,1646,0,726
1566,170,0,158
1567,79,0,44
1568,1436,0,1529
1569,1378,0,1377
1570,2503,0,842
1571,2031,0,837
1572,140,0,172
1573,82,0,56
1574,1465,0,1484
1575,1431,0,1311
1576,2455,0,762
1577,1839,0,754
1578,148,0,177
1579,67,0,53
1580,1741,0,1595
1581,1599,0,1405
1582,2532,0,668
1583,2021,0,544
1584,156,0,215
1585,61,0,41
1586,1483,0,1288
1587,1377,0,1039
1588,2500,0,589
1589,1964,0,536
1590,119,0,181
1591,48,0,52
1592,1740,0,1299
1593,1330,0,983
1594,1922,0,682
1595,1624,0,784
1596,144,0,166
1597,72,0,60
1598,1619,0,1440
1599,1477,0,1382
1600,2142,0,738
1601,1699,0,672
1602,90,0,177
1603,46,0,36
1604,1153,0,1160
1605,1122,0,1147
1606,1968,0,594
1607,1432,0,602
1608,149,0,156
1609,92,0,48
1610,1648,0,1530
1611,1511,0,1341
1612,2459,0,712
1613,1985,0,670
1614,131,0,200
1615,63,0,92
1616,1613,0,1615
1617,1552,0,1378
1618,2401,0,724
1619,1938,0,650
1620,211,0,240
1621,98,0,82
1622,1911,0,1690
1623,1837,0,1475
1624,2851,0,861
1625,2214,0,785
1626,341,0,213
1627,108,0,56
1628,2276,0,1733
1629,2105,0,1458
1630,3262,0,902
1631,2526,0,776
1632,199,0,209
1633,61,0,52
1634,1576,0,1341
1635,1356,0,1036
1636,2224,0,699
1637,1679,0,811
1638,144,0,179
1639,68,0,72
1640,1652,0,1520
1641,1501,0,1351
1642,2370,0,739
1643,1999,0,639
1644,158,0,127
1645,66,0,75
1646,1259,0,1405
1647,1228,0,1328
1648,2277,0,749
1649,1673,0,713
1650,79,0,129
1651,49,0,54
1652,1096,0,1287
1653,1105,0,1166
1654,1840,0,605
1655,1467,0,562
1656,117,0,140
1657,62,0,74
1658,1405,0,1380
1659,1433,0,1392
1660,2352,0,721
1661,1764,0,692
1662,214,0,151
1663,96,0,56
1664,1809,0,1407
1665,1658,0,1268
1666,2244,0,591
1667,1722,0,523
1668,284,0,237
1669,113,0,51
1670,2029,0,1485
1671,1709,0,1318
1672,3136,0,804
1673,2481,0,756
1674,43,0,85
1675,27,0,24
1676,744,0,618
1677,663,0,563
1678,1078,0,319
1679,868,0,335
1680,197,0,158
1681,71,0,70
1682,1860,0,1549
1683,1595,0,1399
1684,2486,0,799
1685,2006,0,793
1686,167,0,156
1687,99,0,56
1688,1970,0,1479
1689,1743,0,1435
1690,2653,0,787
1691,2226,0,615
1692,142,0,231
1693,70,0,60
1694,1734,0,1473
1695,1513,0,1381
1696,2462,0,760
1697,1937,0,693
1698,132,0,155
1699,71,0,62
1700,1911,0,1487
1701,1574,0,1349
1702,2502,0,705
1703,1983,0,572
1704,221,0,181
1705,83,0,59
1706,2425,0,1697
1707,2041,0,1488
1708,2998,0,811
1709,2477,0,592
1710,291,0,203
1711,105,0,56
1712,2095,0,1546
1713,1737,0,1313
1714,3201,0,808
1715,2444,0,725
1716,167,0,190
1717,42,0,68
1718,1711,0,1387
1719,1354,0,1017
1720,1872,0,816
1721,1502,0,943
1722,121,0,147
1723,53,0,56
1724,1555,0,1448
1725,1393,0,1409
1726,2129,0,658
1727,1702,0,538
1728,166,0,157
1729,82,0,58
1730,1926,0,1430
1731,1781,0,1303
1732,2354,0,491
1733,1816,0,328
1734,46,0,157
1735,30,0,36
1736,715,0,1092
1737,738,0,1056
1738,1188,0,409
1739,981,0,280
1740,124,0,216
1741,64,0,82
1742,1924,0,1421
1743,1831,0,1395
1744,2535,0,923
1745,1903,0,810
1746,175,0,183
1747,98,0,68
1748,2104,0,1662
1749,2079,0,1469
1750,3049,0,805
1751,2460,0,696
1752,332,0,285
1753,176,0,95
1754,2927,0,1875
1755,2458,0,1488
1756,3661,0,952
1757,3005,0,966
1758,194,0,221
1759,72,0,53
1760,2500,0,1544
1761,1915,0,1132
1762,2225,0,945
1763,1918,0,884
1764,105,0,148
1765,60,0,64
1766,1494,0,1547
1767,1427,0,1381
1768,2369,0,774
1769,1785,0,760
1770,51,0,160
1771,37,0,54
1772,1111,0,1216
1773,1048,0,1209
1774,1932,0,629
1775,1438,0,573
1776,39,0,96
1777,36,0,48
1778,503,0,826
1779,544,0,814
1780,1266,0,393
1781,878,0,332
1782,124,0,169
1783,55,0,98
1784,1706,0,1517
1785,1652,0,1401
1786,2518,0,760
1787,1953,0,676
1788,82,0,138
1789,72,0,43
1790,1532,0,1358
1791,1326,0,1349
1792,1982,0,725
1793,1580,0,645
1794,226,0,203
1795,104,0,59
1796,2222,0,1391
1797,1914,0,1335
1798,3036,0,661
1799,2266,0,644
1800,117,0,181
1801,61,0,52
1802,2217,0,1408
1803,1654,0,1067
1804,2151,0,793
1805,1899,0,828
1806,87,0,124
1807,68,0,54
1808,1670,0,1324
1809,1480,0,1245
1810,2272,0,686
1811,1752,0,647
1812,137,0,174
1813,72,0,64
1814,1810,0,1462
1815,1705,0,1366
1816,2749,0,718
1817,2078,0,842
1818,130,0,204
1819,89,0,88
1820,1986,0,1640
1821,1809,0,1561
1822,2835,0,912
1823,2373,0,859
1824,107,0,202
1825,53,0,65
1826,1556,0,1179
1827,1244,0,989
1828,1753,0,731
1829,1586,0,755
1830,184,0,184
1831,98,0,58
1832,2418,0,1351
1833,2047,0,1086
1834,2531,0,716
1835,2030,0,786
1836,242,0,206
1837,117,0,78
1838,2566,0,1501
1839,2218,0,1344
1840,3184,0,789
1841,2355,0,758
1842,151,0,181
1843,51,0,67
1844,2301,0,1365
1845,1826,0,1025
1846,1967,0,887
1847,1523,0,1008
1848,125,0,161
1849,70,0,70
1850,2139,0,1504
1851,1739,0,1405
1852,2528,0,871
1853,2010,0,881
1854,134,0,205
1855,74,0,65
1856,2052,0,1457
1857,1801,0,1370
1858,2465,0,879
1859,1877,0,813
1860,149,0,198
1861,76,0,73
1862,2048,0,1464
1863,1985,0,1470
1864,2501,0,972
1865,1811,0,823
1866,150,0,223
1867,80,0,66
1868,1957,0,1593
1869,1670,0,1517
1870,2500,0,986
1871,1840,0,888
1872,211,0,216
1873,85,0,69
1874,2467,0,1552
1875,2310,0,1522
1876,2915,0,1062
1877,2124,0,938
1878,320,0,260
1879,149,0,79
1880,3146,0,1790
1881,2806,0,1648
1882,3664,0,1165
1883,2954,0,1077
1884,144,0,254
1885,54,0,73
1886,2321,0,1227
1887,1920,0,1061
1888,1882,0,1098
1889,1430,0,1048
1890,139,0,166
1891,92,0,68
1892,1936,0,1302
1893,1851,0,1280
1894,2251,0,946
1895,1581,0,789
1896,125,0,133
1897,64,0,51
1898,1677,0,1486
1899,1540,0,1461
1900,2228,0,962
1901,1907,0,896
1902,96,0,160
1903,51,0,52
1904,1378,0,1480
1905,1317,0,1474
1906,2146,0,898
1907,1748,0,882
1908,129,0,158
1909,67,0,76
1910,1873,0,1497
1911,1850,0,1519
1912,2386,0,865
1913,1816,0,915
1914,126,0,168
1915,88,0,72
1916,1833,0,1405
1917,1894,0,1424
1918,2683,0,877
1919,1962,0,748
1920,216,0,215
1921,121,0,64
1922,2322,0,1530
1923,2517,0,1491
1924,3445,0,955
1925,2647,0,838
1926,112,0,233
1927,80,0,83
1928,2090,0,1444
1929,1746,0,1095
1930,2102,0,1033
1931,1779,0,1033
1932,84,0,107
1933,72,0,50
1934,1425,0,1390
1935,1456,0,1349
1936,2127,0,797
1937,1649,0,871
1938,99,0,114
1939,64,0,57
1940,1586,0,1620
1941,1638,0,1506
1942,2402,0,804
1943,1824,0,941
1944,86,0,126
1945,61,0,67
1946,1547,0,1700
1947,1665,0,1246
1948,2419,0,767
1949,1804,0,709
1950,113,0,144
1951,60,0,61
1952,1680,0,1386
1953,1692,0,1268
1954,2347,0,842
1955,1810,0,779
1956,114,0,194
1957,65,0,63
1958,1850,0,1448
1959,1784,0,1337
1960,2640,0,823
1961,2062,0,709
1962,249,0,205
1963,112,0,69
1964,2412,0,1544
1965,2231,0,1456
1966,3273,0,983
1967,2708,0,914
1968,117,0,169
1969,54,0,50
1970,1670,0,1218
1971,1338,0,994
1972,1958,0,824
1973,1562,0,980
1974,94,0,122
1975,67,0,61
1976,1813,0,1496
1977,1705,0,1429
1978,2570,0,852
1979,2048,0,896
1980,101,0,118
1981,51,0,50
1982,1464,0,1247
1983,1308,0,1240
1984,2044,0,676
1985,1586,0,583
1986,129,0,159
1987,63,0,84
1988,1706,0,1331
1989,1545,0,1300
1990,2376,0,833
1991,1981,0,819
1992,166,0,210
1993,83,0,112
1994,2234,0,1839
1995,1938,0,1705
1996,3074,0,1164
1997,2523,0,1098
1998,201,0,174
1999,107,0,57
2000,2240,0,1378
2001,2198,0,1323
2002,3271,0,934
2003,2391,0,893
2004,191,0,208
2005,98,0,70
2006,2152,0,1494
2007,1984,0,1472
2008,3402,0,1094
2009,2459,0,1030
2010,48,0,101
2011,32,0,41
2012,1080,0,865
2013,837,0,800
2014,1152,0,645
2015,943,0,679
2016,101,0,147
2017,48,0,52
2018,1575,0,960
2019,1199,0,927
2020,1802,0,696
2021,1459,0,728
2022,124,0,184
2023,92,0,56
2024,1763,0,1521
2025,1811,0,1280
2026,2960,0,979
2027,2110,0,953
2028,159,0,214
2029,90,0,77
2030,1774,0,1506
2031,1801,0,1343
2032,2856,0,1048
2033,2156,0,911
2034,121,0,202
2035,74,0,71
2036,1860,0,1607
2037,1848,0,1504
2038,2776,0,1119
2039,2198,0,1017
2040,143,0,231
2041,113,0,73
2042,2089,0,1776
2043,1841,0,1697
2044,3031,0,1066
2045,2511,0,1163
2046,194,0,195
2047,107,0,57
2048,2404,0,1587
2049,2228,0,1478
2050,3184,0,959
2051,2454,0,987
2052,106,0,305
2053,73,0,54
2054,1356,0,1314
2055,1431,0,1052
2056,1868,0,1203
2057,1587,0,1157
2058,97,0,183
2059,64,0,66
2060,1714,0,1392
2061,1665,0,1350
2062,2254,0,959
2063,1750,0,844
2064,116,0,171
2065,57,0,86
2066,1868,0,1424
2067,1663,0,1412
2068,2452,0,1079
2069,1846,0,951
2070,120,0,177
2071,84,0,74
2072,1864,0,1465
2073,1736,0,1430
2074,2451,0,1040
2075,1947,0,953
2076,94,0,160
2077,78,0,72
2078,1747,0,1474
2079,1594,0,1424
2080,2442,0,983
2081,1918,0,1095
2082,189,0,203
2083,111,0,59
2084,2102,0,1588
2085,2115,0,1560
2086,2973,0,1070
2087,2306,0,928
2088,174,0,176
2089,85,0,37
2090,2040,0,1277
2091,1958,0,1336
2092,3159,0,825
2093,2134,0,739
2094,110,0,151
2095,45,0,56
2096,1538,0,1132
2097,1345,0,949
2098,1831,0,692
2099,1573,0,701
2100,120,0,162
2101,52,0,46
2102,1763,0,1434
2103,1486,0,1243
2104,2315,0,858
2105,1775,0,995
2106,132,0,150
2107,81,0,55
2108,1903,0,1495
2109,1890,0,1466
2110,2771,0,1095
2111,2019,0,950
2112,128,451,194
2113,105,94,74
2114,1678,2288,1586
2115,1696,2603,1452
2116,2584,3380,942
2117,2060,3002,835
2118,151,454,220
2119,94,103,57
2120,2034,2894,1664
2121,1904,3348,1639
2122,2978,3471,1033
2123,2299,3423,966
2124,111,431,167
2125,84,116,67
2126,1757,2770,1490
2127,1777,3101,1434
2128,2853,3615,931
2129,2247,3270,867
2130,232,655,225
2131,136,170,67
2132,2453,3326,1709
2133,2455,3942,1515
2134,3812,4333,1041
2135,2804,3973,897
2136,151,538,331
2137,105,128,74
2138,1873,2010,1734
2139,1834,2519,1404
2140,2543,3872,1119
2141,2020,3745,1138
2142,63,336,120
2143,31,92,59
2144,1445,2163,1434
2145,1442,2445,1361
2146,2230,3095,828
2147,1600,2733,790
2148,81,418,172
2149,73,78,70
2150,1569,2440,1603
2151,1583,3027,1450
2152,2581,3250,941
2153,1939,3151,812
2154,106,472,177
2155,78,122,69
2156,1738,2624,1602
2157,1678,3006,1549
2158,2657,3574,880
2159,2095,3270,777
2160,135,468,193
2161,80,83,67
2162,1960,2748,1690
2163,1857,3180,1615
2164,2852,3348,809
2165,2125,3077,701
2166,148,527,246
2167,97,137,74
2168,1914,2888,1824
2169,1852,3493,1846
2170,3168,4014,967
2171,2480,3832,743
2172,191,659,303
2173,105,119,64
2174,1849,2814,1534
2175,2148,3482,1523
2176,3413,4151,954
2177,2433,3828,632
2178,144,441,274
2179,79,94,44
2180,2076,2021,1547
2181,1593,2226,1230
2182,2062,2509,941
2183,1860,2531,785
2184,82,399,167
2185,65,90,67
2186,1332,2389,1462
2187,1552,2734,1415
2188,2621,3265,779
2189,1777,3011,528
2190,79,264,113
2191,38,63,46
2192,1348,1990,1182
2193,1407,2213,1175
2194,2216,2672,657
2195,1519,2375,587
2196,128,466,169
2197,65,116,46
2198,1795,2759,1489
2199,1722,3202,1447
2200,2849,3373,966
2201,2124,3153,901
2202,137,467,187
2203,79,121,67
2204,1485,2776,1603
2205,1580,3143,1530
2206,2770,3425,900
2207,2194,3215,745
2208,154,553,168
2209,73,130,56
2210,1835,2765,1601
2211,1750,3163,1515
2212,2800,3814,945
2213,2209,3439,865
2214,246,603,213
2215,143,155,60
2216,2652,3182,1635
2217,2394,3656,1566
2218,3429,3703,974
2219,2728,3480,884
2220,131,309,224
2221,71,79,63
2222,2028,1944,1421
2223,1654,2150,1089
2224,2284,2539,920
2225,1800,2444,976
2226,93,374,188
2227,59,80,70
2228,1627,2278,1481
2229,1448,2625,1235
2230,2418,2929,789
2231,1870,2683,767
2232,147,477,182
2233,92,94,48
2234,1793,2523,1539
2235,1753,2912,1419
2236,2815,3631,923
2237,2156,3016,808
2238,137,475,166
2239,79,98,73
2240,1733,2568,1650
2241,1681,2922,1556
2242,2675,3494,869
2243,2179,3043,853
2244,113,493,183
2245,70,95,73
2246,1643,2730,1695
2247,1647,3033,1567
2248,2605,3693,954
2249,2110,3110,955
2250,164,795,255
2251,112,131,85
2252,1820,2799,1726
2253,1999,3463,1625
2254,3464,4139,1059
2255,2650,3633,869
2256,216,707,258
2257,115,166,55
2258,2032,2807,1546
2259,2138,3468,1442
2260,3417,4496,991
2261,2600,3821,763
2262,99,465,249
2263,56,103,51
2264,1462,1740,1307
2265,1535,2097,1123
2266,1986,3120,1112
2267,1719,3066,919
2268,93,375,159
2269,61,77,52
2270,1732,2299,1456
2271,1644,2596,1470
2272,2376,3043,872
2273,1842,2923,824
2274,144,429,206
2275,62,110,68
2276,1749,2604,1461
2277,1676,2810,1374
2278,2622,3447,860
2279,2094,3302,845
2280,120,503,275
2281,74,149,85
2282,1218,2503,1637
2283,1652,3159,1405
2284,2815,3856,1029
2285,1959,3689,726
2286,160,509,199
2287,95,93,58
2288,2146,2773,1531
2289,1840,3105,1492
2290,2991,3477,968
2291,2189,3385,944
2292,180,680,234
2293,113,155,81
2294,2082,3268,1930
2295,2116,3760,1749
2296,3404,4567,1124
2297,2714,4274,1043
2298,215,722,256
2299,160,109,60
2300,2077,2887,1824
2301,2224,3330,1472
2302,3449,4093,931
2303,2629,3930,952
2304,53,213,98
2305,36,48,26
2306,1112,1249,883
2307,1033,1329,629
2308,1429,1855,406
2309,1092,1838,502
2310,90,364,215
2311,59,106,59
2312,1146,1741,1381
2313,1348,2176,1143
2314,2242,3405,854
2315,1792,3290,795
2316,166,593,234
2317,78,143,69
2318,1907,2954,1791
2319,1842,3257,1489
2320,3115,4358,1018
2321,2472,4021,938
2322,113,505,195
2323,78,118,106
2324,1558,2658,1598
2325,1634,3079,1489
2326,2838,3513,937
2327,2186,3180,841
2328,98,516,195
2329,65,130,77
2330,1387,2451,1943
2331,1612,2965,1559
2332,2771,3908,832
2333,2123,3602,773
2334,134,582,178
2335,76,91,72
2336,1595,2841,1739
2337,1630,3179,1495
2338,2674,3601,963
2339,2221,3382,828
2340,231,837,207
2341,115,187,46
2342,2427,2954,1812
2343,2278,3337,1514
2344,3733,4011,999
2345,2806,3752,890
2346,87,400,209
2347,53,93,51
2348,1801,1934,1519
2349,1504,2292,1120
2350,2157,2475,881
2351,1758,2564,957
2352,145,453,192
2353,83,134,63
2354,1945,2590,1711
2355,1881,3017,1581
2356,2821,3579,954
2357,2146,3432,989
2358,99,555,201
2359,78,133,63
2360,1788,2576,1667
2361,1783,2906,1476
2362,2782,3922,866
2363,2170,3461,902
2364,144,527,216
2365,88,135,71
2366,1631,2655,1708
2367,1857,3280,1602
2368,2882,3869,965
2369,2266,3491,784
2370,141,560,213
2371,70,123,70
2372,1787,2947,2157
2373,1743,3368,1794
2374,2869,3772,1019
2375,2377,3605,974
2376,164,0,245
2377,108,0,77
2378,2332,4,3000
2379,2217,0,1884
2380,3072,4,1010
2381,2509,2,1068
2382,210,0,188
2383,148,0,50
2384,2438,0,2321
2385,2334,0,1532
2386,3699,0,871
2387,2895,0,841
2388,108,0,260
2389,76,0,62
2390,1682,0,1631
2391,1505,0,1165
2392,2042,0,884
2393,1762,0,934
2394,131,0,248
2395,69,0,91
2396,1234,0,1952
2397,1561,0,1688
2398,2806,0,902
2399,2059,0,675
2400,128,0,191
2401,68,0,62
2402,1812,0,1764
2403,1772,0,1589
2404,2677,0,932
2405,2107,0,890
2406,151,0,163
2407,71,0,78
2408,1804,0,1644
2409,1771,0,1631
2410,2682,0,922
2411,2224,0,942
2412,150,0,217
2413,89,0,87
2414,1963,0,1775
2415,1865,0,1649
2416,2948,0,923
2417,2394,0,1000
2418,137,0,172
2419,87,0,48
2420,1883,0,1651
2421,1931,0,1458
2422,2955,0,892
2423,2288,0,907
2424,174,0,153
2425,102,0,40
2426,1761,0,1592
2427,2090,0,1322
2428,3459,0,753
2429,2551,0,627
2430,108,0,220
2431,59,0,57
2432,1604,0,1318
2433,1427,0,1083
2434,2042,0,729
2435,1654,0,799
2436,141,0,223
2437,77,0,74
2438,1856,0,1684
2439,1742,0,1499
2440,2847,0,975
2441,2259,0,951
2442,103,0,180
2443,43,0,66
2444,1383,0,1527
2445,1502,0,1370
2446,2452,0,780
2447,1932,0,690
2448,142,0,204
2449,70,0,86
2450,1842,0,1720
2451,1851,0,1607
2452,2824,0,823
2453,2197,0,826
2454,137,0,201
2455,73,0,79
2456,1956,0,1877
2457,1868,0,1553
2458,2904,0,967
2459,2190,0,991
2460,177,0,208
2461,124,0,64
2462,2199,0,1891
2463,2182,0,1501
2464,3181,0,1051
2465,2463,0,1005
2466,213,0,245
2467,110,0,53
2468,2072,0,1781
2469,1927,0,1396
2470,3543,0,950
2471,2704,0,938
2472,139,0,212
2473,71,0,65
2474,1728,0,1516
2475,1525,0,1099
2476,2115,0,867
2477,1872,0,985
2478,139,0,225
2479,75,0,62
2480,1928,0,1846
2481,1803,0,1453
2482,2783,0,975
2483,2331,0,1027
2484,141,0,222
2485,67,0,71
2486,1865,0,1878
2487,1765,0,1554
2488,2816,0,1054
2489,2365,0,1061
2490,175,0,227
2491,67,0,75
2492,1820,0,1886
2493,1861,0,1442
2494,2823,0,1009
2495,2282,0,1053
2496,163,0,239
2497,74,0,85
2498,1790,0,1736
2499,1828,0,1508
2500,3033,0,1069
2501,2370,0,1062
2502,199,0,262
2503,111,0,65
2504,2321,0,2171
2505,2152,0,1676
2506,3343,0,1079
2507,2695,0,1039
2508,194,0,276
2509,107,0,67
2510,1971,0,1913
2511,2063,0,1589
2512,3439,0,948
2513,2629,0,956
2514,113,0,358
2515,58,0,72
2516,943,0,1910
2517,1293,0,1447
2518,2421,0,1063
2519,1792,0,897
2520,126,0,255
2521,68,0,77
2522,1750,0,2195
2523,1785,0,1697
2524,2972,0,1057
2525,2200,0,1103
2526,144,0,220
2527,94,0,54
2528,1905,0,1875
2529,1797,0,1614
2530,2927,0,964
2531,2306,0,972
2532,162,4,219
2533,87,1,72
2534,1961,14,1863
2535,1892,22,1591
2536,3055,271,993
2537,2337,1,958
2538,168,176,233
2539,95,150,65
2540,1966,3245,1850
2541,1881,3665,1550
2542,3093,753,1049
2543,2365,144,1014
2544,175,145,301
2545,93,154,70
2546,1897,3208,2108
2547,2050,3696,1741
2548,3430,613,1109
2549,2401,147,1038
2550,213,104,301
2551,108,134,63
2552,1877,2976,2117
2553,2020,3758,1568
2554,3454,656,1035
2555,2657,58,932
2556,114,120,327
2557,65,129,69
2558,1769,2198,2020
2559,1641,2899,1330
2560,2407,769,933
2561,1775,63,1173
2562,134,91,141
2563,84,174,76
2564,1778,2661,1928
2565,1592,3438,1842
2566,2800,188,968
2567,2298,154,1154
2568,115,49,45
2569,80,102,69
2570,1768,2608,1445
2571,1622,3051,1579
2572,2677,217,922
2573,2122,174,959
2574,90,69,49
2575,60,106,69
2576,2011,2925,1587
2577,1765,3359,1658
2578,2756,255,937
2579,2356,191,1062
2580,119,53,57
2581,94,133,73
2582,2157,2927,1414
2583,1741,3267,1609
2584,2673,452,1028
2585,2355,397,940
2586,163,92,50
2587,103,159,62
2588,2369,3138,1551
2589,2045,3691,1721
2590,3018,248,1207
2591,2626,241,1099
2592,140,58,31
2593,107,96,45
2594,2429,2924,1394
2595,1825,3573,1443
2596,3059,306,850
2597,2817,300,961
2598,81,56,39
2599,72,129,52
2600,1818,2040,1401
2601,1268,2592,1367
2602,2084,268,937
2603,1823,212,1161
2604,94,64,45
2605,68,84,54
2606,1950,2708,1540
2607,1644,2994,1582
2608,2581,235,943
2609,2202,167,983
2610,99,42,54
2611,85,107,71
2612,1886,2592,1488
2613,1703,3323,1632
2614,2745,244,943
2615,2229,174,1057
2616,122,58,48
2617,76,108,51
2618,2078,2850,1451
2619,1694,3458,1539
2620,2653,227,940
2621,2411,230,1083
2622,141,58,61
2623,95,77,65
2624,2286,3010,1640
2625,1932,3549,1646
2626,2826,273,1096
2627,2548,288,1106
2628,106,70,43
2629,99,110,52
2630,2361,3171,1656
2631,2114,3712,1693
2632,3147,338,1066
2633,2699,240,1072
2634,123,42,30
2635,101,69,39
2636,2031,2737,1222
2637,1688,3140,1249
2638,2787,202,663
2639,2394,153,790
2640,102,43,29
2641,52,57,42
2642,1898,1856,1218
2643,1476,2355,1162
2644,2006,200,907
2645,1781,160,1070
2646,60,33,33
2647,39,64,32
2648,1714,1795,1094
2649,1315,2251,983
2650,2043,118,696
2651,1784,61,822
2652,93,53,52
2653,85,86,52
2654,1793,2763,1598
2655,1577,3429,1731
2656,3021,219,963
2657,2556,159,1049
2658,116,40,62
2659,85,96,63
2660,2074,2736,1522
2661,1719,3381,1601
2662,2680,189,963
2663,2492,142,996
2664,124,50,57
2665,99,102,82
2666,2147,3043,1596
2667,1846,3584,1624
2668,2995,317,1065
2669,2561,197,1134
2670,146,65,47
2671,91,117,67
2672,2295,3223,1588
2673,1961,3734,1661
2674,2863,325,1045
2675,2676,255,1135
2676,175,61,43
2677,93,122,62
2678,2459,3053,1542
2679,2047,3648,1587
2680,3205,306,916
2681,2844,170,954
2682,93,42,55
2683,88,102,49
2684,1987,2168,1629
2685,1605,2639,1471
2686,2437,212,1118
2687,2015,130,1329
2688,98,68,45
2689,90,114,53
2690,1910,2677,1452
2691,1884,3252,1541
2692,2763,164,1066
2693,2205,117,1021
2694,150,60,48
2695,86,108,59
2696,1914,2857,1607
2697,1733,3384,1682
2698,2960,167,1110
2699,2460,130,1051
2700,139,52,69
2701,83,133,70
2702,1849,2987,1818
2703,1808,3739,1914
2704,3139,195,1053
2705,2473,98,1102
2706,149,48,71
2707,79,95,73
2708,1931,2909,1695
2709,1840,3743,1855
2710,3140,169,1025
2711,2453,95,1023
2712,167,77,40
2713,114,126,77
2714,2051,3051,1665
2715,1903,4042,1912
2716,3395,222,1118
2717,2744,113,1103
2718,164,94,51
2719,124,145,61
2720,2183,2884,1424
2721,1866,3719,1706
2722,3231,168,1056
2723,2739,94,1029
2724,78,58,63
2725,83,83,61
2726,2139,2137,1614
2727,1457,2500,1421
2728,2233,292,1043
2729,1996,145,1347
2730,107,33,47
2731,69,59,55
2732,1728,2381,1306
2733,1645,3033,1424
2734,2493,234,814
2735,2056,155,823
2736,128,53,46
2737,92,58,53
2738,2065,2719,1563
2739,1734,3310,1600
2740,2875,253,991
2741,2498,108,1108
2742,105,68,53
2743,75,96,54
2744,1882,2545,1355
2745,1687,2977,1467
2746,2660,387,819
2747,2283,260,996
2748,113,60,56
2749,86,74,64
2750,1968,2619,1530
2751,1772,2989,1609
2752,2782,2738,884
2753,2443,3172,1045
2754,125,91,45
2755,86,90,61
2756,2138,2763,1440
2757,1868,3481,1714
2758,3040,2979,1037
2759,2606,3241,1034
2760,154,62,41
2761,125,74,54
2762,2219,2622,1481
2763,1944,3435,1608
2764,3304,2668,918
2765,2821,2781,957
2766,93,59,42
2767,51,66,62
2768,2309,1845,1467
2769,1709,2245,1343
2770,2307,2427,1354
2771,1959,2548,1319
