,S1,S2,S3
326,940,2259,2587
327,1137,3090,1428
328,2665,3336,1024
329,1823,3345,813
330,410,188,112
331,376,66,40
332,958,1039,1484
333,907,1188,744
334,1352,1692,561
335,1089,1651,626
336,1175,367,113
337,957,137,71
338,1283,2044,1810
339,1228,2420,1259
340,1874,3087,757
341,1638,2795,707
342,1341,532,188
343,1129,154,66
344,1443,2144,2150
345,1398,2694,1425
346,2388,3349,927
347,1730,3236,986
348,1112,535,214
349,882,161,64
350,1230,2128,2676
351,1298,2736,1495
352,2481,3573,978
353,1799,3281,829
354,956,521,198
355,854,175,70
356,1271,2118,2362
357,1169,2833,1571
358,2738,3902,939
359,2073,3544,769
360,996,481,177
361,374,211,56
362,1018,2238,2899
363,1125,3073,1651
364,3547,3464,949
365,3060,3353,798
366,3011,497,241
367,2276,229,85
368,543,2305,2204
369,828,3235,1668
370,2828,3254,854
371,1891,3355,717
372,2062,361,247
373,1681,140,60
374,640,1263,1841
375,838,1675,1149
376,1974,2907,926
377,1326,3024,898
378,1560,477,188
379,1327,175,59
380,800,1940,2016
381,930,2441,1373
382,2340,3203,863
383,1554,3153,745
384,1870,494,213
385,1521,177,71
386,745,2051,2230
387,1024,2871,1507
388,2391,3363,963
389,1626,3333,779
390,1970,407,221
391,1412,146,93
392,664,2168,2695
393,1192,2839,1627
394,2424,3299,927
395,1653,3225,931
396,1743,492,238
397,1533,175,84
398,985,2136,2110
399,1153,2661,1514
400,2387,3861,962
401,1716,3647,844
402,2285,576,218
403,2054,185,89
404,1043,2343,3085
405,1195,3130,1650
406,2398,4128,1009
407,1768,3725,908
408,2812,600,185
409,2482,235,62
410,1055,2536,2166
411,1179,3283,1404
412,2317,3824,907
413,1723,3658,870
414,2139,336,273
415,1956,127,78
416,728,1434,2510
417,895,1809,1342
418,1671,2776,926
419,1376,2606,733
420,1468,469,180
421,1502,148,71
422,927,2043,2760
423,976,2475,1284
424,2013,3294,865
425,1483,3208,847
426,1085,370,126
427,1045,121,44
428,807,1996,2081
429,1007,2323,1210
430,1802,2795,721
431,1396,2808,727
432,1126,318,152
433,1070,136,48
434,1200,2028,1286
435,1276,2434,1377
436,1914,2927,726
437,1402,2854,678
438,1922,542,197
439,1702,166,62
440,1136,2227,1486
441,1353,2735,1390
442,1959,3443,909
443,1567,3408,880
444,1214,363,95
445,1326,124,43
446,1061,2046,1200
447,1149,2510,1150
448,1821,2893,626
449,1325,2757,601
450,2328,479,174
451,2175,155,38
452,1279,2412,1435
453,1275,2941,1279
454,2110,3031,790
455,1755,2984,748
456,2142,344,278
457,1830,110,66
458,870,1334,1647
459,980,1755,1096
460,1796,2745,927
461,1270,2519,918
462,1634,318,160
463,1541,118,40
464,848,1468,1646
465,1006,1703,999
466,1634,2212,722
467,1216,2155,814
468,1308,450,153
469,1220,126,55
470,1097,2229,1876
471,1287,2618,1243
472,1977,3191,784
473,1565,3216,832
474,1576,432,184
475,1516,130,77
476,1198,2108,2538
477,1343,2604,1351
478,2034,3534,859
479,1616,3384,842
480,937,268,95
481,847,82,38
482,870,1656,1172
483,922,1822,1045
484,1427,2551,558
485,1124,2452,599
486,1700,454,183
487,1702,163,72
488,927,2383,1764
489,1103,2773,1393
490,2196,3343,901
491,1725,3137,852
492,1345,345,159
493,1519,152,47
494,1011,1911,1419
495,1071,2504,1073
496,2145,2669,613
497,1488,2652,660
498,1714,336,181
499,1782,121,60
500,817,1473,1345
501,963,1751,1063
502,1647,2552,984
503,1152,2445,1037
504,1548,371,152
505,1550,145,64
506,779,2201,1559
507,999,2649,1290
508,1968,3028,765
509,1420,2779,705
510,1848,434,136
511,1659,163,54
512,933,2331,1852
513,1136,2913,1206
514,1981,3000,814
515,1510,3001,768
516,1305,415,140
517,1216,149,54
518,860,1942,2005
519,1074,2469,1216
520,1974,3578,781
521,1513,3137,677
522,1702,457,152
523,1600,146,79
524,1028,2283,1733
525,1149,3097,1353
526,2281,3485,855
527,1768,3339,887
528,2042,588,168
529,1920,193,66
530,1137,2667,2163
531,1163,3211,1418
532,2146,3614,961
533,1759,3630,963
534,1382,1801,123
535,1420,338,36
536,1194,2361,1992
537,1161,2687,1132
538,2138,3582,646
539,1486,3583,624
540,1597,327,195
541,1559,90,57
542,988,1507,1643
543,812,1820,1040
544,1553,2309,848
545,1245,2367,938
546,1375,434,139
547,1452,153,49
548,1082,2414,2089
549,1163,2857,1279
550,2118,3126,803
551,1610,3018,852
552,1344,428,192
553,1375,139,63
554,1189,2428,2945
555,1081,2839,1384
556,2073,3307,832
557,1687,3055,829
558,1449,410,195
559,1508,159,68
560,1029,2462,3169
561,1037,2908,1380
562,1969,3171,896
563,1625,3013,905
564,1622,439,182
565,1433,162,59
566,1052,2432,2852
567,1071,2845,1304
568,1928,3403,845
569,1679,3288,814
570,1788,457,132
571,1449,147,50
572,1093,2490,1914
573,1423,2912,1347
574,2101,3669,848
575,1677,3452,811
576,1642,413,131
577,1671,154,51
578,1297,2476,1824
579,1232,3091,1194
580,2164,3033,688
581,1717,2867,685
582,1817,350,198
583,1621,104,59
584,1048,1539,1822
585,875,1927,1083
586,1432,2334,900
587,1285,2301,899
588,1762,530,203
589,1764,182,71
590,1226,2196,2055
591,1168,2929,1326
592,1910,3798,847
593,1498,3580,775
594,2165,481,234
595,1801,174,68
596,1091,2291,2242
597,1033,2983,1479
598,1887,4254,965
599,1638,3677,852
600,2045,499,277
601,1599,186,83
602,1098,2456,1984
603,1255,3122,1504
604,2286,3940,986
605,1656,3644,875
606,1884,556,248
607,1676,163,67
608,1123,2396,2913
609,1059,3030,1411
610,1821,3816,913
611,1487,3677,929
612,2344,623,240
613,1993,230,50
614,1173,2873,2843
615,1412,3556,1530
616,2252,4814,963
617,1926,4351,868
618,3593,591,306
619,2960,247,73
620,1394,2530,2447
621,1540,3519,1564
622,1431,3975,962
623,1399,3914,773
624,1841,358,216
625,1864,117,49
626,1005,1795,2029
627,897,2015,1129
628,992,2588,843
629,1003,2711,1098
630,1720,502,179
631,1831,150,49
632,984,2604,1395
633,986,2985,1297
634,1363,3194,899
635,1299,3118,889
636,1497,468,171
637,1672,176,51
638,935,2277,2530
639,1008,2753,1358
640,1472,3262,920
641,1216,3047,898
642,1898,370,196
643,1989,140,59
644,952,1937,3051
645,1051,2310,1431
646,1368,2615,908
647,1208,2550,879
648,1495,419,191
649,1675,143,64
650,922,2336,2101
651,969,2850,1414
652,1363,3079,822
653,1248,2909,817
654,2091,565,178
655,1943,193,56
656,1075,2666,3766
657,1177,3126,1575
658,1339,3347,936
659,1382,3446,916
660,3186,639,258
661,2888,209,57
662,1386,2828,2921
663,1366,3567,1455
664,1508,4137,888
665,1463,3831,927
666,1859,358,255
667,1916,104,57
668,1171,1692,2399
669,918,2077,1133
670,990,2925,878
671,1020,2616,933
672,1750,317,168
673,1640,117,67
674,989,1876,3436
675,1059,2463,1274
676,1076,3213,798
677,1042,2882,661
678,1835,409,229
679,1906,144,52
680,1159,1948,3227
681,1251,2526,1264
682,1224,3498,857
683,1134,3034,733
684,1496,343,176
685,1613,140,57
686,978,2228,2751
687,1069,2698,1370
688,1279,3500,854
689,1116,3013,728
690,1548,359,156
691,1656,129,41
692,1019,2183,1240
693,1005,2789,1244
694,1424,3263,737
695,1215,2884,708
696,2221,441,208
697,2005,158,56
698,865,2448,2807
699,1291,2875,1450
700,1365,3451,901
701,1250,3250,819
702,3194,607,215
703,2832,271,53
704,1171,2836,2748
705,1167,3286,1490
706,1461,3725,916
707,1555,3537,853
708,1612,271,200
709,1954,119,47
710,820,1737,2548
711,879,2100,1049
712,1042,2290,889
713,892,2357,836
714,1622,361,193
715,1349,125,49
716,648,2050,2767
717,993,2411,1214
718,1269,2941,738
719,1139,2695,782
720,1951,346,170
721,1643,147,57
722,735,2180,2491
723,1050,2614,1372
724,1265,3207,818
725,1093,2892,687
726,1506,338,131
727,1318,137,58
728,561,2244,3309
729,988,2557,1471
730,1319,2967,808
731,1127,2733,668
732,1860,435,180
733,1849,177,61
734,1131,2253,2397
735,1074,2662,1275
736,1281,3650,840
737,1223,3277,771
738,1705,385,151
739,1394,164,45
740,967,2460,1728
741,1055,2904,1243
742,1261,3221,797
743,1284,3057,687
744,3483,613,233
745,3047,252,66
746,1392,2923,2527
747,1276,3666,1582
748,1434,4186,938
749,1466,3770,842
750,2424,325,281
751,2136,114,67
752,1225,1708,1604
753,921,2055,1146
754,986,3049,1079
755,1024,2842,976
756,1625,325,149
757,1426,134,64
758,901,1868,1574
759,979,2372,1170
760,1104,3096,751
761,1118,2826,661
762,1786,450,144
763,1709,147,64
764,1103,2176,1605
765,1002,2669,1277
766,1183,3731,801
767,1118,3096,700
768,1474,385,168
769,1709,162,57
770,1139,2229,2089
771,1161,2721,1257
772,1246,3442,873
773,1156,3208,739
774,1751,432,173
775,1841,129,69
776,988,2150,1953
777,1112,2659,1351
778,1322,3414,823
779,1134,3030,734
780,2048,495,195
781,2009,268,60
782,1202,2840,1581
783,1182,3667,1348
784,1295,3388,864
785,1223,3182,747
786,3260,722,266
787,3105,267,63
788,1409,3072,1825
789,1485,3843,1634
790,1669,4394,1064
791,1417,3870,935
792,1299,351,211
793,1544,139,52
794,975,1685,1414
795,804,1998,1149
796,1051,2992,874
797,910,2586,852
798,1200,289,174
799,1345,130,52
800,1210,2004,1354
801,1194,2532,1157
802,1402,3082,800
803,1210,2915,619
804,1004,307,123
805,1279,144,54
806,1169,2124,1328
807,1043,2501,1185
808,1367,2954,762
809,1183,2765,747
810,1336,351,156
811,1468,131,77
812,1225,2102,2401
813,1233,2640,1231
814,1336,3614,793
815,1129,3373,735
816,1160,393,124
817,1132,140,86
818,1181,2189,1398
819,1139,2543,1274
820,1396,2893,703
821,1174,2684,752
822,480,391,175
823,363,177,45
