,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
137,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3358
150,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,362
151,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,110
152,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1850
153,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2281
154,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3010
155,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2582
168,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,449
169,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,121
170,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1827
171,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2557
172,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3223
173,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2850
186,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,342
187,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,123
188,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1839
189,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2405
190,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2790
191,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2573
204,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,423
205,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,115
206,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2037
207,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2637
208,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3583
209,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3017
222,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,723
223,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,192
224,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2434
225,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3418
226,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4465
227,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,4031
240,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,595
241,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,192
242,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1516
243,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2247
244,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3952
245,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3908
258,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,503
259,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,183
260,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2070
261,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3061
262,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3729
263,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3650
276,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,590
277,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,221
278,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2252
279,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3232
280,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4170
281,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3819
294,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,379
295,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,123
296,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2020
297,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2864
298,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3113
299,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2846
312,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,555
313,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,144
314,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2104
315,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3163
316,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3997
317,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3768
330,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,691
331,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,189
332,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2093
333,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2985
334,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4071
335,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3551
348,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,475
349,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,182
350,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2254
351,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3382
352,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3797
353,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3293
366,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,438
367,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,127
368,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1278
369,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1948
370,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2900
371,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2889
384,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,402
385,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,88
