,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
50,158,05/25/2021,05/25/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1286
51,159,05/25/2021,05/25/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1217
52,160,05/25/2021,05/25/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,802
53,161,05/25/2021,05/25/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,727
54,174,05/26/2021,05/26/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,155
55,175,05/26/2021,05/26/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,65
56,176,05/26/2021,05/26/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2035
57,177,05/26/2021,05/26/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1367
58,178,05/26/2021,05/26/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,957
59,179,05/26/2021,05/26/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,844
60,192,05/27/2021,05/27/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,130
61,193,05/27/2021,05/27/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,54
62,194,05/27/2021,05/27/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2310
63,195,05/27/2021,05/27/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1253
64,196,05/27/2021,05/27/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,820
65,197,05/27/2021,05/27/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,825
66,210,05/28/2021,05/28/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,125
67,211,05/28/2021,05/28/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,46
68,212,05/28/2021,05/28/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1498
69,213,05/28/2021,05/28/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1333
70,214,05/28/2021,05/28/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,860
71,215,05/28/2021,05/28/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,833
72,228,05/29/2021,05/29/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,228
73,229,05/29/2021,05/29/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,72
74,230,05/29/2021,05/29/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2091
75,231,05/29/2021,05/29/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1552
