,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
0,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22989,S1_georgeSt_dlr001,S1,in,344
1,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22989,S1_georgeSt_dlr001,S1,out,76
2,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1803
3,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1671
4,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2666
5,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2104
18,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22989,S1_georgeSt_dlr001,S1,in,214
19,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22989,S1_georgeSt_dlr001,S1,out,86
20,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1813
21,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1688
22,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2867
23,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2290
36,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22989,S1_georgeSt_dlr001,S1,in,274
37,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22989,S1_georgeSt_dlr001,S1,out,108
38,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,in,2001
39,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1703
40,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2953
41,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2244
54,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22989,S1_georgeSt_dlr001,S1,in,61
55,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22989,S1_georgeSt_dlr001,S1,out,26
56,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1021
57,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22988,S1_georgeSt_pathLHS_dlr001,S1,out,970
58,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22990,S1_georgeSt_pathRHS_dlr001,S1,in,1470
