,year,month,day,real data,data with prediction for 2023
0,2021,5,17,1867.6666666666667,1867.6666666666667
1,2021,5,18,1925.1666666666667,1925.1666666666667
2,2021,5,19,2071.8333333333335,2071.8333333333335
3,2021,5,20,1119.8333333333333,1119.8333333333333
4,2021,5,21,1712.6666666666667,1712.6666666666667
5,2021,5,22,2788.3333333333335,2788.3333333333335
6,2021,5,23,1211.3333333333333,1211.3333333333333
7,2021,5,24,2019.3333333333333,2019.3333333333333
8,2021,5,25,1699.1666666666667,1699.1666666666667
9,2021,5,26,1837.8333333333333,1837.8333333333333
10,2021,5,27,1678.6666666666667,1678.6666666666667
11,2021,5,28,1968.6666666666667,1968.6666666666667
12,2021,5,29,2543.8333333333335,2543.8333333333335
13,2021,5,30,2068.3333333333335,2068.3333333333335
14,2021,5,31,2199.3333333333335,2199.3333333333335
15,2021,6,1,2380.6666666666665,2380.6666666666665
16,2021,6,2,1890.8333333333333,1890.8333333333333
17,2021,6,3,2288.5,2288.5
18,2021,6,4,2263.3333333333335,2263.3333333333335
19,2021,6,5,2230.5,2230.5
20,2021,6,6,1596.6666666666667,1596.6666666666667
21,2021,6,7,1598.8333333333333,1598.8333333333333
22,2021,6,8,2138.3333333333335,2138.3333333333335
23,2021,6,9,1951.0,1951.0
24,2021,6,10,2091.3333333333335,2091.3333333333335
25,2021,6,11,2225.1666666666665,2225.1666666666665
26,2021,6,12,2487.1666666666665,2487.1666666666665
27,2021,6,13,1601.1666666666667,1601.1666666666667
28,2021,6,14,1983.5,1983.5
29,2021,6,15,2239.0,2239.0
30,2021,6,16,1975.5,1975.5
31,2021,6,17,2122.1666666666665,2122.1666666666665
32,2021,6,18,2273.8333333333335,2273.8333333333335
33,2021,6,19,2472.6666666666665,2472.6666666666665
34,2021,6,20,1497.0,1497.0
35,2021,6,21,1922.0,1922.0
36,2021,6,22,1897.3333333333333,1897.3333333333333
37,2021,6,23,1648.1666666666667,1648.1666666666667
38,2021,6,24,1870.1666666666667,1870.1666666666667
39,2021,6,25,2041.0,2041.0
40,2021,6,26,2145.8333333333335,2145.8333333333335
41,2021,6,27,1645.0,1645.0
42,2021,6,28,2109.3333333333335,2109.3333333333335
43,2021,6,29,2119.5,2119.5
44,2021,6,30,2204.8333333333335,2204.8333333333335
45,2021,7,1,2256.0,2256.0
46,2021,7,2,2247.1666666666665,2247.1666666666665
47,2021,7,3,2000.0,2000.0
48,2021,7,4,1324.3333333333333,1324.3333333333333
49,2021,7,5,1988.6666666666667,1988.6666666666667
50,2021,7,6,1569.5,1569.5
51,2021,7,7,1954.5,1954.5
52,2021,7,8,2067.5,2067.5
53,2021,7,9,2126.0,2126.0
54,2021,7,10,2131.6666666666665,2131.6666666666665
55,2021,7,11,970.6666666666666,970.6666666666666
56,2021,7,12,1808.3333333333333,1808.3333333333333
57,2021,7,13,2018.1666666666667,2018.1666666666667
58,2021,7,14,2069.0,2069.0
59,2021,7,15,2182.1666666666665,2182.1666666666665
60,2021,7,16,2136.6666666666665,2136.6666666666665
61,2021,7,17,2145.8333333333335,2145.8333333333335
62,2021,7,18,1561.6666666666667,1561.6666666666667
63,2021,7,19,1898.1666666666667,1898.1666666666667
64,2021,7,20,2048.1666666666665,2048.1666666666665
65,2021,7,21,2014.0,2014.0
66,2021,7,22,2162.0,2162.0
67,2021,7,23,2347.8333333333335,2347.8333333333335
68,2021,7,24,2356.0,2356.0
69,2021,7,25,1514.6666666666667,1514.6666666666667
70,2021,7,26,1939.5,1939.5
71,2021,7,27,1735.5,1735.5
72,2021,7,28,1782.8333333333333,1782.8333333333333
73,2021,7,29,2086.8333333333335,2086.8333333333335
74,2021,7,30,1782.1666666666667,1782.1666666666667
75,2021,7,31,2000.3333333333333,2000.3333333333333
76,2021,8,1,1467.8333333333333,1467.8333333333333
77,2021,8,2,1329.0,1329.0
78,2021,8,3,1971.6666666666667,1971.6666666666667
79,2021,8,4,2032.0,2032.0
80,2021,8,5,1471.8333333333333,1471.8333333333333
81,2021,8,6,2042.1666666666667,2042.1666666666667
82,2021,8,7,1705.5,1705.5
83,2021,8,8,1446.3333333333333,1446.3333333333333
84,2021,8,9,1862.1666666666667,1862.1666666666667
85,2021,8,10,1973.6666666666667,1973.6666666666667
86,2021,8,11,1948.3333333333333,1948.3333333333333
87,2021,8,12,2134.5,2134.5
88,2021,8,13,2317.1666666666665,2317.1666666666665
89,2021,8,14,2392.0,2392.0
90,2021,8,15,1403.3333333333333,1403.3333333333333
91,2021,8,16,2000.3333333333333,2000.3333333333333
92,2021,8,17,2032.6666666666667,2032.6666666666667
93,2021,8,18,2020.5,2020.5
94,2021,8,19,2094.8333333333335,2094.8333333333335
95,2021,8,20,2187.8333333333335,2187.8333333333335
96,2021,8,21,2005.6666666666667,2005.6666666666667
97,2021,8,22,1425.8333333333333,1425.8333333333333
98,2021,8,23,2202.5,2202.5
99,2021,8,24,2310.0,2310.0
100,2021,8,25,2307.8333333333335,2307.8333333333335
101,2021,8,26,2273.0,2273.0
102,2021,8,27,2741.1666666666665,2741.1666666666665
103,2021,8,28,2462.6666666666665,2462.6666666666665
104,2021,8,29,1597.3333333333333,1597.3333333333333
105,2021,8,30,2092.1666666666665,2092.1666666666665
106,2021,8,31,1997.1666666666667,1997.1666666666667
107,2021,9,1,1653.6666666666667,1653.6666666666667
108,2021,9,2,1956.0,1956.0
109,2021,9,3,2223.8333333333335,2223.8333333333335
110,2021,9,4,2535.1666666666665,2535.1666666666665
111,2021,9,5,1628.6666666666667,1628.6666666666667
112,2021,9,6,1811.3333333333333,1811.3333333333333
113,2021,9,7,1926.5,1926.5
114,2021,9,8,1987.0,1987.0
115,2021,9,9,1934.5,1934.5
116,2021,9,10,2103.8333333333335,2103.8333333333335
117,2021,9,11,2377.0,2377.0
118,2021,9,12,1479.0,1479.0
119,2021,9,13,1763.8333333333333,1763.8333333333333
120,2021,9,14,1897.6666666666667,1897.6666666666667
121,2021,9,15,1829.3333333333333,1829.3333333333333
122,2021,9,16,2075.6666666666665,2075.6666666666665
123,2021,9,17,2031.8333333333333,2031.8333333333333
124,2021,9,18,2568.3333333333335,2568.3333333333335
125,2021,9,19,1682.1666666666667,1682.1666666666667
126,2021,9,20,1770.1666666666667,1770.1666666666667
127,2021,9,21,2044.8333333333333,2044.8333333333333
128,2021,9,22,2024.5,2024.5
129,2021,9,23,1969.0,1969.0
130,2021,9,24,2306.6666666666665,2306.6666666666665
131,2021,9,25,2694.6666666666665,2694.6666666666665
132,2021,9,26,1625.1666666666667,1625.1666666666667
133,2021,9,27,1825.3333333333333,1825.3333333333333
134,2021,9,28,1799.1666666666667,1799.1666666666667
135,2021,9,29,2035.1666666666667,2035.1666666666667
136,2021,9,30,1807.0,1807.0
137,2021,10,1,2216.6666666666665,2216.6666666666665
138,2021,10,2,2385.0,2385.0
139,2021,10,3,1491.3333333333333,1491.3333333333333
140,2021,10,4,1953.5,1953.5
141,2021,10,5,1867.5,1867.5
142,2021,10,6,1908.1666666666667,1908.1666666666667
143,2021,10,7,1979.0,1979.0
144,2021,10,8,2234.0,2234.0
145,2021,10,9,2354.5,2354.5
146,2021,10,10,1641.8333333333333,1641.8333333333333
147,2021,10,11,1927.5,1927.5
148,2021,10,12,1873.6666666666667,1873.6666666666667
149,2021,10,13,1878.6666666666667,1878.6666666666667
150,2021,10,14,1979.8333333333333,1979.8333333333333
151,2021,10,15,2343.1666666666665,2343.1666666666665
152,2021,10,16,2352.3333333333335,2352.3333333333335
153,2021,10,17,1621.5,1621.5
154,2021,10,18,1813.1666666666667,1813.1666666666667
155,2021,10,19,1898.0,1898.0
156,2021,10,20,1850.5,1850.5
157,2021,10,21,1987.5,1987.5
158,2021,10,22,2201.5,2201.5
159,2021,10,23,2145.5,2145.5
160,2021,10,24,1433.5,1433.5
161,2021,10,25,1411.1666666666667,1411.1666666666667
162,2021,10,26,2043.6666666666667,2043.6666666666667
163,2021,10,27,2031.0,2031.0
164,2021,10,28,1910.5,1910.5
165,2021,10,29,2559.3333333333335,2559.3333333333335
166,2021,10,30,2229.0,2229.0
167,2021,10,31,1369.1666666666667,1369.1666666666667
168,2021,11,1,1800.3333333333333,1800.3333333333333
169,2021,11,2,1850.5,1850.5
170,2021,11,3,1945.5,1945.5
171,2021,11,4,1883.5,1883.5
172,2021,11,5,2193.6666666666665,2193.6666666666665
173,2021,11,6,2204.1666666666665,2204.1666666666665
174,2021,11,7,1630.8333333333333,1630.8333333333333
175,2021,11,8,1763.1666666666667,1763.1666666666667
176,2021,11,9,1800.6666666666667,1800.6666666666667
177,2021,11,10,1833.3333333333333,1833.3333333333333
