,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
138,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,146
139,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,55
140,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1561
141,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1313
142,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,960
143,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,911
156,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,115
157,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,41
158,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1286
159,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1217
160,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,802
161,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,727
174,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,155
175,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,65
176,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2035
177,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1367
178,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,957
179,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,844
192,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,130
193,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,54
194,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2310
195,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1253
196,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,820
197,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,825
210,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,125
211,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,46
212,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1498
213,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1333
214,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,860
215,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,833
228,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,228
229,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,72
230,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2091
231,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1552
232,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1238
233,2021-05-29 00:00:00.000,2021-05-29 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1094
246,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,342
247,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,85
248,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2638
249,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1520
250,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1208
251,2021-05-30 00:00:00.000,2021-05-30 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1174
264,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,227
265,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,64
266,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2795
267,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1671
268,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1086
269,2021-05-31 00:00:00.000,2021-05-31 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1074
282,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,224
283,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,66
284,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2499
285,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1670
286,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1221
287,2021-06-01 00:00:00.000,2021-06-01 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1072
300,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,142
301,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,47
302,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1819
303,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1367
304,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,901
305,2021-06-02 00:00:00.000,2021-06-02 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,910
318,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,199
319,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,69
320,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1768
321,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1854
322,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1070
323,2021-06-03 00:00:00.000,2021-06-03 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,928
336,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,197
337,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,52
338,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1586
339,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1597
340,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1058
341,2021-06-04 00:00:00.000,2021-06-04 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1053
354,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,166
355,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,50
356,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1719
357,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1524
358,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,984
359,2021-06-05 00:00:00.000,2021-06-05 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,946
372,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,209
373,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,55
374,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1320
375,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1105
376,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1049
